시도,시군구,구분,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
경기,경기 안성시,노인인구비율,7.88,8.14,8.32,8.48,8.68,8.89,9.22,9.61,9.82,10.15,10.41,10.69,11.10,11.29,11.58,11.95,12.01,12.36,12.4,12.59,13.05,13.37,13.74,14.34,14.55,15.39,15.97,16.75,17.56,18.27
경기,경기 김포시,총인구,110786,114974,117235,108439,113512,124194,127865,148066,162997,180404,193438,203391,208192,207229,207824,205997,220418,225805,238339,256994,287432,312305,340310,349990,363443,392092,423170,437221,473970,486508
경기,경기 김포시,노인인구비율,6.72,6.77,6.92,6.97,7.03,6.90,7.08,6.82,6.90,7.10,7.34,7.65,8.01,8.41,8.79,9.41,9.57,9.93,10.13,10.28,10.23,10.42,10.49,10.87,11.14,11.38,11.47,11.96,12.26,12.9
경기,경기 화성시,총인구,181385,182216,163596,163445,167303,176702,178743,183166,191444,210524,226930,236226,271563,296530,310171,371972,449354,491528,505838,516765,525490,530251,540862,596525,640890,691086,758722,815396,855248,887015
경기,경기 화성시,노인인구비율,7.24,7.53,8.06,8.28,8.40,8.52,8.81,9.09,9.30,9.16,9.05,9.19,8.85,8.56,8.69,8.22,7.7,7.58,7.61,7.77,7.97,8.26,8.48,8.28,8.25,8.4,8.37,8.52,8.91,9.3
경기,경기 광주시,총인구,83094,85284,87190,92815,101464,110242,114789,123865,139339,152878,175614,191466,205641,214498,222048,229319,234777,238583,249789,265222,275656,286699,298858,312579,327723,345947,363782,372654,382054,387289
경기,경기 광주시,노인인구비율,6.15,6.17,6.29,6.26,6.21,6.26,6.42,6.55,6.56,6.70,6.82,6.89,7.08,7.35,7.70,8.12,8.42,8.75,8.95,9.1,9.51,9.84,10.19,10.5,10.74,11.33,11.78,12.44,13.37,14.29
경기,경기 양주시,총인구,88535,90706,91222,94157,96896,101310,101810,108309,117319,135748,143124,148062,152596,160589,169806,179914,179914,182106,196706,200360,200310,199143,202072,205184,205513,212146,216951,222314,230359,236368
경기,경기 양주시,노인인구비율,5.75,5.86,6.00,6.10,6.23,6.36,6.62,6.72,6.93,6.93,7.17,7.50,7.84,8.09,8.56,9.11,9.58,10.03,10.15,10.57,11.15,11.77,12.18,12.67,13,13.72,14.34,15.03,15.73,16.51
경기,경기 포천시,총인구,118930,121998,123381,128181,134487,141741,143257,144912,145981,146272,152507,150240,150364,155242,157269,158156,160176,158931,158658,157967,157559,156603,155798,155192,154763,152925,150676,148379,147274,148939
