시도,시군구,구분,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
경남,경남 마산시,노인인구비율,3.72,3.90,4.13,4.71,4.95,5.21,5.39,5.69,6.04,6.34,6.64,7.02,7.45,7.87,8.43,9.00,9.51,10.08,,,,,,,,,,,,
경남,경남 진양군,총인구,77314,75695,74046,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 진양군,노인인구비율,9.65,10.29,11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 진주시,총인구,251054,256425,260159,334252,335914,338771,341156,341516,341822,339906,339943,337319,337425,336234,333554,330756,331222,331720,335037,335502,337314,337071,340241,344426,346739,346681,345987,347334,348096,347097
경남,경남 진주시,노인인구비율,4.22,4.34,4.44,6.07,6.37,6.61,6.84,7.13,7.47,7.85,8.24,8.63,9.05,9.54,10.02,10.56,10.94,11.34,11.62,12.01,12.51,13.06,13.52,13.88,14.22,14.85,15.39,16.09,16.96,17.75
경남,경남 진해시,총인구,124315,126043,128585,129716,131440,133419,133217,133052,133791,134660,141124,150308,151393,156992,161175,163108,168696,171407,,,,,,,,,,,,
경남,경남 진해시,노인인구비율,5.05,5.23,5.43,5.64,5.84,6.10,6.43,6.80,7.14,7.55,7.75,7.87,8.25,8.47,8.67,9.09,9.2,9.32,,,,,,,,,,,,
경남,경남 충무시,총인구,96618,97528,98291,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 충무시,노인인구비율,4.29,4.45,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 통영군,총인구,48645,46334,44641,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 통영군,노인인구비율,9.10,9.82,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 통영시,총인구,,,,142714,141742,140789,140397,139093,136864,135547,134107,133420,132959,132795,133127,134431,136275,137415,140297,140195,139347,139719,139439,139168,138160,135833,133720,131404,128293,125383
경남,경남 통영시,노인인구비율,,,,6.63,6.95,7.32,7.64,8.02,8.37,8.80,9.20,9.51,9.88,10.29,10.77,11.23,11.5,11.81,11.87,12.16,12.75,13.37,14.03,14.48,15.12,16.24,17.08,18.18,19.59,21.08
경남,경남 삼천포시,총인구,66523,66058,65658,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 삼천포시,노인인구비율,5.68,5.95,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 사천군,총인구,56836,56697,57047,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 사천군,노인인구비율,9.62,9.94,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 사천시,총인구,,,,122830,122438,120946,120145,119597,119326,119305,117076,114556,112670,111293,112300,112499,112828,112724,114148,114133,115321,116851,116485,115452,114912,114252,113888,111925,111105,109953
경남,경남 사천시,노인인구비율,,,,8.38,8.81,9.40,9.76,10.16,10.59,11.14,11.80,12.37,13.06,13.72,14.11,14.69,15.02,15.47,15.68,16.09,16.5,16.89,17.54,18.1,18.71,19.36,19.88,20.93,22.14,23.13
경남,경남 김해군,총인구,87566,87390,85952,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 김해군,노인인구비율,7.10,7.36,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 김해시,총인구,139832,148685,162098,263577,287009,304750,320487,326070,343617,353768,390292,407368,427432,443017,453728,464964,477572,492413,503348,507062,513260,522049,527240,528865,529422,532132,533672,542455,542338,537673
경남,경남 김해시,노인인구비율,3.45,3.51,3.53,5.06,5.01,5.06,5.10,5.29,5.40,5.59,5.58,5.71,5.88,6.09,6.35,6.63,6.83,7.02,7.19,7.4,7.71,8,8.31,8.68,9.06,9.63,10.07,10.61,11.41,12.19
경남,경남 밀양군,총인구,86068,84303,81814,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 밀양군,노인인구비율,10.25,11.04,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 밀양시,총인구,48793,49857,50774,131187,129498,129124,128073,126641,124574,122999,120342,117732,115459,113636,112025,111473,110858,110170,110479,109329,108755,108342,107765,107896,108354,107898,106744,105552,104831,103525
경남,경남 밀양시,노인인구비율,5.68,5.82,5.97,10.05,10.53,11.08,11.58,12.02,12.74,13.37,14.23,14.92,15.73,16.36,17.16,18.10,18.7,19.24,19.62,20.14,20.89,21.72,22.42,22.98,23.64,24.76,25.82,27.05,28.51,29.95
경남,경남 장승포시,총인구,50591,52399,55294,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 장승포시,노인인구비율,2.99,2.92,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 거제군,총인구,93318,93898,94843,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 거제군,노인인구비율,7.47,7.74,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 거제시,총인구,,,,155140,160894,164652,170275,173090,174981,178980,182035,186208,190141,195609,201412,208208,217211,225522,228355,232787,236944,242077,248287,255828,257183,254073,250516,248276,245754,241216
경남,경남 거제시,노인인구비율,,,,6.19,6.19,6.33,6.38,6.48,6.62,6.77,6.89,6.98,7.09,7.12,7.20,7.31,7.27,7.18,7.21,7.31,7.47,7.63,7.8,7.85,8.14,8.75,9.36,10.03,10.93,11.96
경남,경남 양산군,총인구,181246,203647,217332,161241,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 양산군,노인인구비율,5.72,5.57,5.60,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,
경남,경남 양산시,총인구,,,,,167087,172944,177081,184015,193552,200694,205958,210424,213695,222299,226425,231956,243012,250387,260239,266403,270460,279565,292376,301291,317037,338535,348639,350759,352229,354726
경남,경남 양산시,노인인구비율,,,,,4.86,5.02,5.16,5.35,5.58,5.84,6.12,6.46,6.84,7.14,7.52,7.91,8.22,8.48,8.76,9.1,9.57,9.99,10.34,10.75,11.08,11.5,11.95,12.72,13.77,14.65
경남,경남 의령군,총인구,42716,41425,40023,39097,37711,36812,36265,35384,34490,33494,32751,32766,32371,31099,31625,31418,30734,30496,30162,30045,30329,29417,29209,28544,28111,27849,27667,27168,26800,26322
경남,경남 의령군,노인인구비율,12.63,13.61,14.57,15.57,16.81,18.25,19.02,20.15,20.84,22.27,23.73,24.67,25.73,27.38,27.97,29.00,29.74,30.12,30.39,30.53,30.58,31.52,32.21,33.11,33.62,34.58,34.64,35.66,37.02,38.42
경남,경남 함안군,총인구,70212,70217,68517,67894,66998,66815,66865,65923,64846,65368,64318,63435,62081,61376,63460,64865,66050,66582,67207,66971,67425,67667,68741,69156,68937,68207,67025,65700,64182,62547
경남,경남 함안군,노인인구비율,9.57,10.06,10.57,11.06,11.67,12.17,12.66,13.18,13.89,14.37,15.18,15.86,16.62,17.42,17.48,17.71,17.79,18.12,18.2,18.47,18.8,19.23,19.43,19.88,20.26,21.18,22.12,23.37,25.06,26.76
경남,경남 창녕군,총인구,85225,83529,81509,79913,78226,77124,76207,74668,73019,71047,69220,67313,66074,64672,63476,62255,61603,61252,61714,62490,62966,63447,63502,63817,63982,64101,63396,62331,61301,60129
경남,경남 창녕군,노인인구비율,10.07,10.86,11.55,12.23,12.87,13.73,14.45,15.20,15.93,16.77,17.85,18.99,19.95,20.88,21.95,23.10,23.79,24.39,24.61,24.74,25.13,25.54,26.08,26.4,26.8,27.65,28.45,29.56,31.17,32.6
경남,경남 고성군,총인구,74524,73163,71595,69988,68432,67588,66612,64960,63423,62097,60374,58642,57400,56189,55309,55393,55950,57100,57231,57264,56906,56369,55916,55284,54703,54060,53243,52276,51361,50478
경남,경남 고성군,노인인구비율,10.29,10.87,11.64,12.38,13.14,13.93,14.59,15.35,16.25,17.31,18.15,19.09,20.10,20.95,21.77,22.51,22.75,22.64,22.89,23.19,23.78,24.47,25.2,25.73,26.44,27.45,28.47,29.8,31.34,32.77
경남,경남 남해군,총인구,73714,71695,70199,68406,66362,64500,63662,61820,59762,57916,55958,54392,53129,51825,50792,55026,50698,50244,49328,50242,48223,47244,46638,45865,45129,44642,43990,43622,42958,42266
경남,경남 남해군,노인인구비율,13.14,14.01,14.89,15.82,17.04,18.10,18.73,19.82,20.92,22.02,23.36,24.67,25.83,27.03,28.27,27.26,29.42,29.86,30.38,30.36,31.74,32.5,33.4,33.98,34.77,35.48,36.17,36.65,37.85,38.92
경남,경남 하동군,총인구,70284,68606,67265,65743,64147,62867,62007,60801,59556,60298,56777,58010,54881,53131,52898,55526,53515,52010,51509,53975,50806,50177,49223,50259,49622,48831,47533,46574,44785,43449
경남,경남 하동군,노인인구비율,11.02,11.75,12.40,13.18,13.93,14.85,15.56,16.39,17.22,17.82,19.42,19.68,21.32,22.50,23.31,23.33,24.43,25.47,25.94,25.28,27.03,27.9,28.79,28.67,29.25,30.15,31.24,32.46,34.59,36.32
경남,경남 산청군,총인구,50519,48756,47254,46329,45419,44291,43456,42210,40997,39863,38726,37783,36849,36294,35704,35274,35043,34921,35591,35651,35691,35935,35849,36071,36098,36340,35952,35417,34857,34360
경남,경남 산청군,노인인구비율,11.54,12.34,13.15,14.01,14.79,15.83,16.87,17.67,18.80,19.99,21.56,23.07,24.46,25.49,26.73,28.18,28.78,29.45,29.31,29.67,30.38,30.76,31.5,32,32.24,32.79,33.63,35.14,36.82,38.34
경남,경남 함양군,총인구,55516,53885,52426,51125,49755,48912,48716,47638,46376,45184,43982,42760,41922,41535,41162,40637,40447,40626,41197,41081,40714,40692,40584,40339,40241,40175,40044,39637,39080,38310
경남,경남 함양군,노인인구비율,11.69,12.47,13.27,14.15,15.04,15.86,16.43,17.11,18.12,19.24,20.55,21.85,23.25,24.16,25.20,26.51,27.13,27.48,27.49,27.76,28.55,28.97,29.54,30.15,30.5,31.26,31.52,32.38,33.85,35.22
경남,경남 거창군,총인구,77705,76454,74999,73810,73078,72237,72096,70989,69744,68574,67224,66370,65615,64735,63917,63979,63268,63180,63421,63146,63103,63177,63137,63232,63308,62763,62455,62179,61502,61073
경남,경남 거창군,노인인구비율,10.58,11.14,11.74,12.42,12.92,13.46,14.02,14.58,15.24,16.14,17.13,17.84,18.73,19.54,20.31,21.21,21.65,22.04,22.21,22.52,23.12,23.61,24.1,24.29,24.63,25.46,25.96,26.7,27.68,28.73
경남,경남 합천군,총인구,76046,74325,71953,70116,68029,66332,65016,63337,61255,59599,57649,60160,57909,58162,55104,55450,55677,52973,51092,50608,50279,50290,50457,49145,48026,47000,45916,45204,44006,42935
경남,경남 합천군,노인인구비율,11.41,12.45,13.29,14.09,15.11,16.09,17.30,18.29,19.41,20.68,22.13,22.55,24.29,25.02,27.03,27.84,28.35,29.98,31.22,31.72,32.47,32.86,33.26,34.36,35.34,36.54,37.22,38.15,39.61,40.97
세종,세종,총인구,,,,,,,,,,,,,,,,,,,,,113117,122153,156125,210884,243048,280100,314126,340575,355831,371895
세종,세종,노인인구비율,,,,,,,,,,,,,,,,,,,,,15.22,14.7,12.67,10.62,9.96,9.59,9.29,9.38,9.8,10.07
제주,제주 제주시,총인구,237481,243014,248537,255247,260640,265856,270424,273930,278535,284498,289874,292124,296068,303499,403601,405458,407498,410378,417539,422790,429656,438165,448834,459876,470665,478700,485946,489405,492466,493096
제주,제주 제주시,노인인구비율,4.36,4.38,4.47,4.53,4.62,4.76,4.96,5.26,5.50,5.73,6.02,6.35,6.65,6.99,9.51,9.93,10.29,10.64,10.93,11.29,11.66,11.95,12.15,12.38,12.57,12.88,13.13,13.63,14.36,14.97
제주,제주 서귀포시,총인구,84721,85201,84940,85393,84999,84837,85041,85857,85571,85129,84601,83275,83770,83027,154895,153800,153120,152285,153716,153366,154057,155641,158512,164519,170932,178383,181245,181584,182169,183663
제주,제주 서귀포시,노인인구비율,5.17,5.37,5.61,5.77,6.00,6.36,6.80,7.19,7.71,8.16,8.67,9.14,9.68,10.18,13.10,13.97,14.53,15.12,15.61,16.2,16.76,17.31,17.59,17.61,17.57,17.64,17.87,18.56,19.45,20.06
제주 ,제주 북제주군,총인구,100447,99991,99320,98328,98229,98300,100422,100808,100227,100017,100540,101828,101915,97202,,,,,,,,,,,,,,,,
제주 ,제주 북제주군,노인인구비율,9.65,9.82,10.21,10.62,10.86,11.28,11.69,12.10,12.61,13.13,13.57,14.04,14.69,15.68,,,,,,,,,,,,,,,,
제주 ,제주 남제주군,총인구,83135,82378,81108,79868,79154,78593,78121,78149,78035,77245,75816,75070,73609,73841,,,,,,,,,,,,,,,,
제주 ,제주 남제주군,노인인구비율,7.38,7.65,8.05,8.51,8.87,9.44,10.11,10.66,11.26,11.85,12.71,13.45,14.31,14.75,,,,,,,,,,,,,,,,
